Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 11.8s | Train: skip eval | Valid: time=  6.3s loss=2.612, TAw acc= 24.4% | *
| Epoch   2, time= 10.0s | Train: skip eval | Valid: time=  6.4s loss=2.237, TAw acc= 33.3% | *
| Epoch   3, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.351, TAw acc= 32.9% |
| Epoch   4, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.124, TAw acc= 34.9% | *
| Epoch   5, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.057, TAw acc= 36.8% | *
| Epoch   6, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.962, TAw acc= 40.6% | *
| Epoch   7, time= 10.0s | Train: skip eval | Valid: time=  6.2s loss=1.875, TAw acc= 43.0% | *
| Epoch   8, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.789, TAw acc= 44.7% | *
| Epoch   9, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.718, TAw acc= 46.8% | *
| Epoch  10, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.703, TAw acc= 48.3% | *
| Epoch  11, time=  9.9s | Train: skip eval | Valid: time=  6.4s loss=1.736, TAw acc= 46.6% |
| Epoch  12, time= 10.0s | Train: skip eval | Valid: time=  6.2s loss=1.739, TAw acc= 47.2% |
| Epoch  13, time= 10.0s | Train: skip eval | Valid: time=  6.4s loss=1.703, TAw acc= 47.9% |
| Epoch  14, time= 10.0s | Train: skip eval | Valid: time=  6.2s loss=1.766, TAw acc= 46.4% |
| Epoch  15, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.684, TAw acc= 49.1% | *
| Epoch  16, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.704, TAw acc= 50.0% |
| Epoch  17, time=  9.9s | Train: skip eval | Valid: time=  6.5s loss=1.622, TAw acc= 49.2% | *
| Epoch  18, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.612, TAw acc= 51.0% | *
| Epoch  19, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.594, TAw acc= 51.8% | *
| Epoch  20, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.561, TAw acc= 53.4% | *
| Epoch  21, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.749, TAw acc= 49.0% |
| Epoch  22, time= 10.0s | Train: skip eval | Valid: time=  6.2s loss=1.701, TAw acc= 49.9% |
| Epoch  23, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.563, TAw acc= 51.0% |
| Epoch  24, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.519, TAw acc= 54.6% | *
| Epoch  25, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.630, TAw acc= 50.8% |
| Epoch  26, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.602, TAw acc= 52.4% |
| Epoch  27, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.509, TAw acc= 53.8% | *
| Epoch  28, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.504, TAw acc= 55.6% | *
| Epoch  29, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.556, TAw acc= 52.9% |
| Epoch  30, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.494, TAw acc= 54.2% | *
| Epoch  31, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.445, TAw acc= 57.2% | *
| Epoch  32, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.460, TAw acc= 54.4% |
| Epoch  33, time=  9.7s | Train: skip eval | Valid: time=  6.3s loss=1.385, TAw acc= 57.7% | *
| Epoch  34, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.571, TAw acc= 54.2% |
| Epoch  35, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.512, TAw acc= 55.0% |
